date,type,action,project,title,status,platform,content_length,id
2026-03-18,social_post,SCHEDULE_THEN_POST,UNASSIGNED,What Is Koink.fun — Telegram Intro,draft,Telegram,post ~282c,ccdab660-8a93-490c-bda4-8f4430a07989
2026-03-18,social_post,SCHEDULE_THEN_POST,UNASSIGNED,PiPi Origin — The Pig That Refused to Be a Meme,draft,X/Twitter,tweet ~173c,dee405cc-87b5-48dd-8890-9a924fc27222
2026-03-18,social_post,POST,UNASSIGNED,#1 — The Eye Opens,scheduled,X/Twitter,tweet ~185c,cb8386b3-6676-4b5e-a957-88623fcba9b4
2026-03-19,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#2 — 14 Projects Teaser,draft,X/Twitter,tweet ~221c,41a9f2b7-4c48-4d97-bbeb-1449bc340c76
2026-03-19,social_post,SCHEDULE_THEN_POST,UNASSIGNED,Koink.fun Article Drop — Announcement,draft,X/Twitter,tweet ~274c,7d051c2b-57c7-4f00-9b33-4f1e7c0e9a84
2026-03-20,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#3 — Hot Take: Real AI Agents,draft,X/Twitter,tweet ~261c,5eff6d15-f7b8-4486-b310-40fbc2494d1f
2026-03-20,social_post,SCHEDULE_THEN_POST,UNASSIGNED,PiPi Lore Thread — What We're Actually Building,draft,X/Twitter,post ~751c,e27e5e58-ac18-4a63-ba1f-9143a16fac1a
2026-03-21,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#4 — TUSITA Reveal,draft,X/Twitter,tweet ~263c,13eee4e6-b9cf-48e1-8b6a-2c89eb4f8798
2026-03-22,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#5 — Builder Update: What's Live,draft,X/Twitter,tweet ~276c,635edb99-c026-424e-8f28-21dfd3a097e9
2026-03-23,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#6 — ONEON Reveal,draft,X/Twitter,tweet ~239c,dc644317-af8c-41f0-8ce8-567a145e1230
2026-03-24,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#7 — Thread: Coordination Infrastructure,draft,X/Twitter,tweet ~206c,0d9877ae-9cf3-4267-b83b-24550255d374
2026-03-24,social_post,SCHEDULE_THEN_POST,UNASSIGNED,Every Chain Gets a PiPi,draft,X/Twitter,tweet ~189c,2145cd93-a31e-4c20-b0c6-a216ef71a40e
2026-03-25,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#8 — KOINK Reveal,draft,X/Twitter,tweet ~260c,0e3604cb-1b22-48b0-b10c-efc30098b7e1
2026-03-25,social_post,SCHEDULE_THEN_POST,UNASSIGNED,Koink.fun Multi-Chain Roadmap Preview — Telegram,draft,Telegram,tweet ~258c,dcd0d605-f993-4a8b-9a3e-a7677f1c29da
2026-03-26,social_post,SCHEDULE_THEN_POST,UNASSIGNED,#9 — Otto AI Reveal,draft,X/Twitter,tweet ~245c,3ac04806-da46-4b49-b2f6-7f3e0c73c8b4
2026-03-26,social_post,SCHEDULE_THEN_POST,UNASSIGNED,What Does a Pig Know About Parachains,draft,X/Twitter,tweet ~203c,bab4cd5e-a3f0-47cd-bde0-bb1f829f07d8
